rel 16,rel 17,rel 18,rel 19,rel 20,nonc 16,nonc 17,nonc 18,nonc 19,nonc 20,des 16,des 17,des 18,des 19,des 20
156,134,127,161,144,128,146,165,140,127,87,96,93,98,104
145,131,142,159,145,135,125,134,160,150,86,89,92,99,96
120,131,125,133,139,160,155,168,172,157,84,89,92,97,97
129,124,115,132,130,198,171,176,173,176,85,83,83,86,89
117,130,126,125,116,164,164,171,178,165,78,83,79,83,90
137,143,137,144,134,161,157,171,185,177,71,81,87,86,108
160,156,156,173,165,174,185,184,199,204,83,79,88,93,101
173,175,174,189,172,196,185,197,215,199,86,83,87,92,100
187,175,174,180,186,186,183,185,211,210,93,88,82,103,111
201,180,184,191,188,192,197,193,223,218,93,98,90,104,120
200,193,173,194,197,224,193,210,223,217,91,93,94,106,143
199,186,191,205,196,212,211,213,221,242,88,97,90,104,219
209,200,212,217,198,217,221,214,228,223,88,94,93,104,300
241,201,208,205,205,211,221,219,248,185,94,96,92,105,263
196,180,235,193,204,188,214,215,227,191,98,96,94,109,166
180,187,200,184,250,223,214,207,225,204,100,90,100,108,137
166,208,168,217,204,222,199,228,194,193,94,95,91,115,116
163,186,159,188,218,210,208,223,194,201,95,97,92,110,101
173,174,162,178,220,213,213,222,236,208,88,92,93,109,97
201,186,181,230,217,246,215,254,206,210,100,95,98,106,87
187,186,176,201,213,241,231,234,215,234,98,103,94,114,88
203,186,207,192,212,239,230,228,224,234,102,97,106,134,92
179,202,208,202,194,235,219,225,242,233,98,103,110,132,84
189,205,192,200,205,219,210,226,208,215,105,107,107,131,90
225,192,207,185,192,220,201,233,227,230,105,103,109,139,102
187,179,198,191,181,197,207,203,197,215,104,113,112,131,95
165,177,171,178,179,196,200,195,204,211,103,108,103,131,104
159,152,156,153,159,170,185,180,192,192,102,114,114,141,106
140,145,137,130,144,159,176,193,183,192,105,123,116,135,104
