rel 16,rel 17,rel 18,rel 19,rel 20,nonc 16,nonc 17,nonc 18,nonc 19,nonc 20,des 16,des 17,des 18,des 19,des 20
176,167,147,170,169,157,181,196,153,164,88,105,109,130,139
163,169,161,168,158,164,153,153,182,194,95,130,126,129,145
165,151,146,166,162,206,197,179,214,210,93,125,125,109,120
175,166,160,177,167,246,219,209,231,220,86,105,107,101,115
174,173,164,164,170,220,239,206,227,228,90,103,103,98,116
169,174,168,160,163,236,225,219,226,241,94,102,112,101,126
166,158,168,166,168,235,237,226,236,235,100,106,109,96,115
174,167,165,170,188,218,218,241,216,215,104,94,111,93,111
171,163,173,158,168,220,211,219,220,221,108,96,109,96,120
174,176,163,165,173,240,213,212,225,241,106,97,108,90,113
171,168,177,169,177,224,220,228,266,250,106,88,101,99,127
170,171,165,170,189,234,219,244,228,248,108,89,103,99,200
183,178,181,175,177,208,224,232,245,215,103,85,101,96,300
218,174,195,175,196,215,243,255,231,196,91,89,89,95,233
192,174,220,180,205,203,238,230,234,202,84,87,94,94,167
175,171,189,184,273,209,225,243,233,200,85,83,86,86,132
176,223,165,242,237,210,189,243,215,192,85,84,86,83,103
169,187,156,191,237,215,209,226,215,195,79,85,78,87,91
161,162,157,167,234,206,201,217,224,192,71,85,76,81,79
154,168,168,203,207,194,221,226,219,196,74,80,75,86,77
149,154,151,184,200,197,203,224,225,193,75,78,83,80,72
160,153,194,162,203,202,205,210,211,187,75,85,79,80,70
158,169,173,167,190,200,203,204,220,188,73,76,77,74,62
157,187,165,194,183,202,193,220,214,183,65,76,68,77,60
199,172,158,141,172,195,209,211,205,194,68,80,68,75,63
175,159,180,151,162,187,204,218,218,197,66,75,68,87,65
148,158,137,141,158,184,206,196,189,198,68,70,71,76,64
153,144,128,131,154,155,183,196,184,172,65,68,69,70,67
146,132,136,142,153,181,193,169,199,197,64,74,70,67,65
