rel 16,rel 17,rel 18,rel 19,rel 20,nonc 16,nonc 17,nonc 18,nonc 19,nonc 20,des 16,des 17,des 18,des 19,des 20
174,160,153,160,170,112,127,143,123,125,64,70,98,83,89
148,160,160,139,147,116,109,121,146,140,63,66,99,75,80
163,151,150,157,157,154,144,139,174,178,57,66,85,71,69
165,167,156,165,159,186,157,158,169,185,52,61,72,69,63
168,173,155,160,158,156,154,159,174,172,58,63,72,72,67
161,162,161,149,161,158,154,165,172,172,64,60,74,73,72
167,180,162,160,157,198,157,171,181,182,64,62,75,76,73
164,183,159,161,151,156,159,175,176,170,63,65,81,76,72
152,172,147,149,146,164,158,160,175,174,65,68,78,71,69
164,169,162,160,170,166,162,177,182,189,66,65,73,65,73
159,169,159,164,166,155,163,156,186,194,79,58,66,60,96
168,170,166,161,157,159,164,195,177,220,89,57,75,61,188
182,160,173,165,165,157,160,175,184,249,96,63,79,65,300
211,169,175,173,208,142,160,168,178,197,94,65,78,69,226
186,176,220,176,228,138,164,166,181,155,73,68,80,67,144
146,167,178,162,264,149,150,158,179,143,61,65,72,66,130
160,205,155,203,222,162,137,171,163,140,58,64,64,65,103
160,178,160,188,247,176,137,167,163,149,58,55,73,66,86
168,169,162,164,225,162,161,166,173,152,55,52,64,56,74
148,167,160,220,205,148,147,175,174,150,61,55,60,54,64
157,170,172,181,198,154,159,175,171,159,65,56,72,62,63
163,169,203,167,190,158,155,165,158,169,54,54,64,60,60
148,185,163,156,180,147,140,160,145,144,54,58,61,51,67
141,172,151,167,183,138,137,145,158,147,51,53,59,55,73
195,158,150,141,181,133,135,157,165,157,61,47,72,52,57
152,158,159,145,171,130,158,179,163,151,49,62,73,72,57
137,154,144,134,166,118,139,155,153,136,54,60,70,72,56
139,155,136,134,174,122,148,150,159,145,50,52,69,67,50
150,136,135,131,153,133,136,134,161,148,53,53,56,56,47
