rel 16,rel 17,rel 18,rel 19,rel 20,nonc 16,nonc 17,nonc 18,nonc 19,nonc 20,des 16,des 17,des 18,des 19,des 20
179,184,163,157,180,105,111,134,116,113,85,105,117,122,149
109,179,173,126,142,119,106,109,159,142,95,122,134,112,129
143,157,122,165,128,129,146,162,170,190,85,113,111,103,102
125,139,139,135,151,200,173,199,168,181,81,81,94,86,89
147,184,140,160,179,155,164,167,191,184,82,79,98,92,93
153,156,123,127,136,159,185,184,170,184,91,78,94,87,96
126,212,157,164,156,154,160,158,179,179,86,77,96,111,86
155,179,170,147,137,150,167,176,206,180,83,76,97,110,88
107,145,159,137,149,156,176,211,181,201,85,80,88,92,91
183,139,151,121,172,173,148,211,174,205,84,82,95,88,98
134,145,131,154,172,163,184,156,181,207,72,80,102,74,129
161,223,151,164,168,161,199,199,215,237,85,73,89,81,243
155,173,157,146,216,151,160,166,204,181,83,82,80,94,300
182,169,179,144,220,160,194,152,187,175,83,84,85,102,220
164,198,183,161,228,140,191,205,178,180,68,86,82,82,142
189,177,183,173,241,171,183,172,209,164,76,85,76,96,113
158,219,140,194,202,178,150,198,173,165,70,84,79,91,117
129,171,153,160,226,197,179,153,174,185,76,75,81,81,85
171,164,139,202,210,158,213,182,173,169,67,69,84,77,81
163,175,141,163,222,158,196,236,212,184,72,82,89,71,78
139,181,144,166,217,154,161,263,168,188,62,69,82,87,71
152,156,171,116,222,161,174,170,186,155,76,66,84,85,64
138,141,142,138,206,140,154,151,174,130,66,70,83,69,64
131,152,143,157,162,145,142,159,141,167,70,65,96,70,79
162,149,132,136,142,141,122,167,164,133,81,63,108,64,69
144,150,122,122,165,126,130,161,168,150,62,75,85,81,63
125,133,138,133,155,121,134,146,144,162,65,92,87,87,61
111,147,117,119,142,125,118,143,172,159,63,72,94,86,59
116,112,120,120,161,148,135,130,182,186,66,63,74,77,63
