rel 16,rel 17,rel 18,rel 19,rel 20,nonc 16,nonc 17,nonc 18,nonc 19,nonc 20,des 16,des 17,des 18,des 19,des 20
126,105,90,117,125,136,151,185,136,150,98,108,149,102,127
130,113,102,110,102,142,154,159,122,139,85,107,124,137,117
92,96,108,101,105,168,146,138,166,148,98,105,121,96,109
85,98,78,87,111,197,157,174,170,171,92,98,112,97,110
91,104,98,106,93,175,156,182,176,173,76,79,114,95,104
94,94,95,123,103,157,162,188,190,150,87,74,104,103,98
105,103,130,125,108,173,159,180,167,170,67,84,114,97,97
122,102,113,126,116,160,160,173,170,175,89,91,104,112,109
96,105,129,156,133,178,161,168,184,189,86,85,97,99,118
118,117,119,139,149,192,158,186,171,208,79,111,109,112,122
125,110,141,129,155,197,181,206,208,239,87,104,98,122,132
121,119,130,150,167,170,184,213,208,250,98,77,102,134,174
138,135,137,223,132,174,209,196,194,199,101,112,132,102,272
159,145,141,182,150,170,206,187,197,158,88,102,118,137,291
148,142,182,145,178,210,215,218,209,188,102,125,111,120,196
143,157,145,127,244,221,193,191,214,156,104,138,111,123,153
144,173,141,182,201,180,189,192,180,173,112,118,86,115,117
117,137,101,146,195,179,185,186,165,173,105,118,103,122,107
109,120,96,138,155,157,184,197,202,182,105,123,112,135,99
117,124,122,133,177,220,194,224,224,204,117,141,107,125,101
119,130,116,149,145,196,196,221,241,189,95,102,141,152,84
123,128,121,135,135,203,212,248,235,218,98,115,106,149,91
115,142,124,128,144,197,195,208,176,204,123,117,120,150,91
126,123,126,125,138,227,207,240,195,200,110,131,118,161,65
141,107,133,110,156,215,218,208,179,179,124,142,122,162,83
143,134,129,134,131,196,199,236,190,177,119,146,130,165,107
135,131,115,130,138,169,206,216,213,169,136,144,128,160,131
155,113,158,124,150,185,189,172,238,200,121,209,115,178,133
138,128,111,105,121,183,212,180,247,199,105,197,152,206,129
