rel 16,rel 17,rel 18,rel 19,rel 20,nonc 16,nonc 17,nonc 18,nonc 19,nonc 20,des 16,des 17,des 18,des 19,des 20
192,178,185,193,195,162,169,173,174,176,108,111,155,140,166
179,178,177,185,183,175,164,191,200,198,111,118,150,137,157
196,186,183,192,191,204,186,213,224,224,103,116,138,119,133
192,188,182,190,191,241,202,209,224,233,96,108,132,113,126
192,204,199,187,189,212,205,228,234,236,100,105,135,119,132
196,199,193,185,187,220,223,234,237,234,102,106,140,120,143
198,208,188,191,187,222,224,242,243,248,102,119,145,125,141
195,191,199,189,192,216,220,235,241,239,105,118,133,125,138
195,189,194,187,187,227,215,230,239,245,111,115,120,126,137
207,194,190,188,196,231,223,237,241,252,108,116,108,120,136
198,194,195,196,188,227,221,241,266,242,108,100,109,119,154
195,194,201,192,192,228,221,227,243,243,107,103,106,118,220
198,195,194,193,225,215,217,229,246,205,102,104,105,116,300
240,195,237,198,237,216,226,236,246,200,99,111,103,114,258
234,194,220,198,238,222,227,235,252,202,95,102,100,107,207
200,197,192,204,299,234,224,238,244,233,92,98,95,103,160
199,236,189,248,255,230,216,236,233,207,90,97,94,101,116
194,218,196,222,222,224,218,237,232,222,91,95,94,100,101
199,188,196,200,218,218,230,232,243,201,86,91,93,98,92
203,192,177,208,214,211,225,222,228,205,82,90,93,97,84
182,181,190,192,191,210,216,211,221,196,87,88,95,100,82
188,174,186,183,193,211,209,211,219,193,87,93,93,101,76
179,186,179,180,187,201,202,206,212,191,83,88,92,96,75
173,190,181,188,198,187,188,218,221,194,82,88,87,94,67
204,185,181,171,183,201,208,213,221,207,79,86,86,85,72
195,181,167,170,180,194,205,214,231,211,74,83,82,86,80
181,176,169,173,189,202,205,220,230,214,72,77,81,84,92
178,176,166,161,183,196,208,203,202,202,70,77,78,77,103
