,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2015-11-22,65.0,38.0,43.0,62.0,65.0,43.0,33.0,37.0,26.0
2015-11-29,65.0,35.0,41.0,62.0,64.0,55.0,32.0,33.0,22.0
2015-12-06,62.0,37.0,39.0,61.0,61.0,48.0,34.0,33.0,21.0
2015-12-13,59.0,44.0,43.0,62.0,61.0,42.0,35.0,32.0,21.0
2015-12-20,67.0,51.0,38.0,53.0,49.0,26.0,32.0,33.0,22.0
2015-12-27,70.0,33.0,42.0,56.0,56.0,23.0,31.0,32.0,23.0
2016-01-03,52.0,28.0,40.0,64.0,64.0,32.0,31.0,35.0,18.0
2016-01-10,62.0,30.0,37.0,100.0,61.0,37.0,35.0,29.0,21.0
2016-01-17,57.0,26.0,34.0,68.0,62.0,34.0,31.0,31.0,16.0
2016-01-24,65.0,28.0,44.0,60.0,63.0,38.0,25.0,28.0,18.0
2016-01-31,70.0,34.0,56.0,68.0,68.0,38.0,30.0,34.0,19.0
2016-02-07,81.0,46.0,46.0,65.0,82.0,49.0,32.0,34.0,20.0
2016-02-14,85.0,48.0,54.0,70.0,72.0,44.0,36.0,34.0,23.0
2016-02-21,88.0,60.0,53.0,73.0,77.0,42.0,38.0,33.0,22.0
2016-02-28,88.0,57.0,55.0,75.0,100.0,49.0,33.0,33.0,25.0
2016-03-06,89.0,61.0,49.0,73.0,84.0,55.0,33.0,33.0,22.0
2016-03-13,92.0,67.0,50.0,66.0,88.0,63.0,32.0,33.0,23.0
2016-03-20,88.0,100.0,53.0,71.0,76.0,64.0,34.0,37.0,23.0
2016-03-27,81.0,66.0,49.0,67.0,76.0,45.0,37.0,37.0,24.0
2016-04-03,78.0,48.0,54.0,71.0,91.0,61.0,43.0,36.0,21.0
2016-04-10,74.0,43.0,49.0,73.0,85.0,64.0,38.0,35.0,21.0
2016-04-17,78.0,40.0,45.0,70.0,86.0,54.0,37.0,36.0,22.0
2016-04-24,82.0,43.0,48.0,70.0,79.0,64.0,34.0,32.0,22.0
2016-05-01,97.0,47.0,57.0,73.0,92.0,81.0,41.0,36.0,23.0
2016-05-08,85.0,48.0,54.0,72.0,100.0,69.0,38.0,36.0,24.0
2016-05-15,88.0,53.0,62.0,77.0,92.0,70.0,40.0,36.0,26.0
2016-05-22,80.0,48.0,51.0,72.0,96.0,67.0,41.0,31.0,26.0
2016-05-29,92.0,47.0,50.0,76.0,82.0,61.0,39.0,37.0,29.0
2016-06-05,94.0,46.0,85.0,67.0,78.0,75.0,45.0,36.0,24.0
2016-06-12,84.0,43.0,60.0,66.0,69.0,62.0,47.0,32.0,25.0
2016-06-19,75.0,39.0,51.0,68.0,68.0,60.0,44.0,32.0,27.0
2016-06-26,75.0,34.0,50.0,65.0,61.0,44.0,44.0,29.0,29.0
2016-07-03,62.0,29.0,49.0,54.0,62.0,43.0,49.0,28.0,28.0
2016-07-10,60.0,31.0,40.0,63.0,73.0,40.0,46.0,32.0,28.0
2016-07-17,83.0,43.0,52.0,64.0,75.0,60.0,43.0,32.0,28.0
2016-07-24,80.0,43.0,50.0,62.0,72.0,67.0,46.0,36.0,27.0
2016-07-31,74.0,41.0,49.0,64.0,70.0,58.0,44.0,36.0,28.0
2016-08-07,87.0,50.0,46.0,62.0,73.0,66.0,46.0,35.0,30.0
2016-08-14,86.0,44.0,49.0,64.0,83.0,67.0,48.0,35.0,30.0
2016-08-21,87.0,44.0,53.0,67.0,88.0,56.0,53.0,37.0,31.0
2016-08-28,83.0,47.0,48.0,68.0,77.0,59.0,51.0,39.0,32.0
2016-09-04,82.0,49.0,55.0,69.0,81.0,65.0,52.0,44.0,30.0
2016-09-11,79.0,43.0,56.0,66.0,76.0,59.0,56.0,40.0,27.0
2016-09-18,65.0,41.0,45.0,66.0,79.0,70.0,54.0,43.0,28.0
2016-09-25,67.0,33.0,43.0,65.0,71.0,53.0,48.0,40.0,33.0
2016-10-02,62.0,37.0,54.0,71.0,79.0,62.0,44.0,39.0,28.0
2016-10-09,86.0,46.0,51.0,74.0,74.0,55.0,40.0,38.0,28.0
2016-10-16,71.0,43.0,53.0,74.0,77.0,50.0,40.0,39.0,22.0
2016-10-23,83.0,47.0,48.0,70.0,79.0,56.0,39.0,37.0,25.0
2016-10-30,83.0,42.0,52.0,73.0,76.0,49.0,36.0,42.0,23.0
2016-11-06,78.0,45.0,49.0,65.0,64.0,52.0,36.0,45.0,27.0
2016-11-13,73.0,42.0,48.0,69.0,78.0,53.0,34.0,39.0,26.0
2016-11-20,65.0,39.0,47.0,72.0,70.0,47.0,40.0,38.0,22.0
2016-11-27,62.0,36.0,42.0,67.0,68.0,40.0,35.0,37.0,27.0
2016-12-04,68.0,37.0,39.0,65.0,59.0,42.0,34.0,35.0,26.0
2016-12-11,59.0,32.0,39.0,61.0,56.0,46.0,35.0,31.0,23.0
2016-12-18,57.0,41.0,36.0,60.0,52.0,34.0,33.0,33.0,30.0
2016-12-25,59.0,34.0,38.0,50.0,48.0,27.0,32.0,31.0,26.0
2017-01-01,62.0,30.0,39.0,61.0,59.0,35.0,32.0,34.0,23.0
2017-01-08,63.0,27.0,34.0,66.0,65.0,40.0,31.0,32.0,20.0
2017-01-15,63.0,26.0,41.0,67.0,57.0,40.0,32.0,31.0,20.0
2017-01-22,65.0,33.0,45.0,65.0,59.0,33.0,29.0,31.0,21.0
2017-01-29,73.0,36.0,47.0,67.0,75.0,43.0,27.0,31.0,21.0
2017-02-05,81.0,48.0,46.0,66.0,71.0,48.0,27.0,33.0,23.0
2017-02-12,79.0,49.0,47.0,67.0,72.0,44.0,30.0,34.0,24.0
2017-02-19,83.0,47.0,50.0,71.0,76.0,50.0,32.0,38.0,28.0
2017-02-26,87.0,57.0,49.0,70.0,80.0,43.0,36.0,34.0,23.0
2017-03-05,81.0,57.0,48.0,73.0,81.0,57.0,35.0,37.0,25.0
2017-03-12,92.0,60.0,48.0,70.0,83.0,68.0,33.0,36.0,25.0
2017-03-19,86.0,63.0,52.0,71.0,84.0,66.0,34.0,37.0,25.0
2017-03-26,74.0,57.0,49.0,65.0,78.0,71.0,35.0,37.0,24.0
