,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2015-11-22,79.0,37.0,43.0,64.0,80.0,87.0,33.0,22.0,20.0
2015-11-29,73.0,46.0,38.0,61.0,83.0,79.0,32.0,23.0,23.0
2015-12-06,79.0,50.0,40.0,63.0,82.0,64.0,31.0,24.0,24.0
2015-12-13,74.0,49.0,38.0,61.0,70.0,80.0,33.0,27.0,25.0
2015-12-20,77.0,60.0,39.0,52.0,56.0,49.0,36.0,24.0,28.0
2015-12-27,85.0,37.0,41.0,57.0,64.0,43.0,39.0,27.0,29.0
2016-01-03,80.0,43.0,42.0,64.0,73.0,69.0,40.0,24.0,29.0
2016-01-10,85.0,43.0,47.0,100.0,78.0,68.0,36.0,26.0,24.0
2016-01-17,87.0,41.0,46.0,71.0,81.0,68.0,37.0,30.0,23.0
2016-01-24,83.0,41.0,45.0,66.0,82.0,88.0,37.0,31.0,26.0
2016-01-31,80.0,41.0,45.0,70.0,80.0,85.0,42.0,34.0,24.0
2016-02-07,86.0,41.0,47.0,63.0,75.0,80.0,40.0,37.0,27.0
2016-02-14,90.0,38.0,43.0,66.0,71.0,83.0,42.0,38.0,28.0
2016-02-21,86.0,42.0,46.0,72.0,76.0,92.0,44.0,37.0,25.0
2016-02-28,89.0,41.0,41.0,67.0,76.0,81.0,44.0,34.0,28.0
2016-03-06,84.0,43.0,43.0,70.0,85.0,79.0,42.0,37.0,29.0
2016-03-13,87.0,42.0,54.0,65.0,78.0,65.0,38.0,35.0,30.0
2016-03-20,88.0,80.0,50.0,71.0,82.0,62.0,35.0,31.0,25.0
2016-03-27,80.0,64.0,48.0,65.0,75.0,63.0,30.0,29.0,25.0
2016-04-03,93.0,39.0,43.0,66.0,76.0,67.0,32.0,28.0,25.0
2016-04-10,87.0,40.0,49.0,67.0,76.0,67.0,32.0,26.0,27.0
2016-04-17,84.0,37.0,48.0,66.0,80.0,69.0,27.0,26.0,26.0
2016-04-24,78.0,36.0,47.0,64.0,79.0,63.0,26.0,24.0,21.0
2016-05-01,66.0,40.0,48.0,62.0,73.0,59.0,29.0,24.0,21.0
2016-05-08,73.0,32.0,44.0,62.0,73.0,62.0,28.0,25.0,22.0
2016-05-15,76.0,38.0,46.0,62.0,74.0,66.0,26.0,24.0,25.0
2016-05-22,78.0,37.0,43.0,70.0,73.0,57.0,28.0,23.0,22.0
2016-05-29,75.0,33.0,49.0,65.0,76.0,61.0,24.0,22.0,19.0
2016-06-05,72.0,38.0,89.0,66.0,73.0,56.0,24.0,23.0,21.0
2016-06-12,80.0,35.0,60.0,61.0,69.0,57.0,24.0,23.0,19.0
2016-06-19,72.0,31.0,45.0,56.0,69.0,59.0,24.0,23.0,21.0
