,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2015-11-22,79.0,42.0,37.0,46.0,53.0,35.0,15.0,22.0,11.0
2015-11-29,72.0,51.0,33.0,49.0,50.0,35.0,16.0,22.0,12.0
2015-12-06,76.0,53.0,32.0,50.0,52.0,37.0,16.0,22.0,13.0
2015-12-13,63.0,52.0,33.0,56.0,47.0,31.0,18.0,26.0,16.0
2015-12-20,67.0,71.0,36.0,45.0,40.0,27.0,20.0,25.0,19.0
2015-12-27,66.0,45.0,37.0,51.0,41.0,24.0,20.0,24.0,19.0
2016-01-03,74.0,50.0,39.0,56.0,59.0,39.0,19.0,22.0,16.0
2016-01-10,77.0,50.0,38.0,93.0,57.0,36.0,16.0,23.0,13.0
2016-01-17,79.0,53.0,36.0,60.0,57.0,39.0,17.0,26.0,15.0
2016-01-24,73.0,51.0,37.0,64.0,59.0,35.0,19.0,29.0,16.0
2016-01-31,74.0,52.0,41.0,100.0,59.0,39.0,19.0,29.0,16.0
2016-02-07,79.0,48.0,37.0,61.0,56.0,39.0,18.0,29.0,16.0
2016-02-14,72.0,40.0,40.0,65.0,62.0,37.0,19.0,29.0,17.0
2016-02-21,70.0,55.0,39.0,65.0,63.0,38.0,19.0,30.0,17.0
2016-02-28,70.0,50.0,39.0,62.0,57.0,36.0,17.0,45.0,17.0
2016-03-06,78.0,52.0,38.0,60.0,58.0,41.0,19.0,52.0,18.0
2016-03-13,76.0,64.0,42.0,58.0,57.0,42.0,19.0,60.0,17.0
2016-03-20,69.0,97.0,45.0,55.0,55.0,32.0,20.0,56.0,18.0
2016-03-27,67.0,66.0,53.0,57.0,51.0,30.0,18.0,38.0,17.0
2016-04-03,65.0,40.0,41.0,54.0,62.0,33.0,15.0,31.0,15.0
2016-04-10,70.0,50.0,40.0,58.0,61.0,43.0,14.0,31.0,13.0
2016-04-17,73.0,45.0,42.0,77.0,58.0,41.0,14.0,30.0,14.0
2016-04-24,78.0,48.0,42.0,60.0,59.0,43.0,13.0,29.0,13.0
2016-05-01,67.0,39.0,42.0,57.0,54.0,37.0,14.0,32.0,15.0
2016-05-08,73.0,42.0,42.0,60.0,56.0,38.0,13.0,38.0,14.0
2016-05-15,79.0,41.0,43.0,58.0,60.0,40.0,12.0,30.0,12.0
2016-05-22,69.0,37.0,42.0,54.0,55.0,38.0,12.0,29.0,13.0
2016-05-29,63.0,37.0,41.0,51.0,50.0,37.0,12.0,26.0,13.0
2016-06-05,72.0,40.0,83.0,53.0,47.0,33.0,12.0,36.0,13.0
2016-06-12,69.0,38.0,45.0,49.0,47.0,34.0,11.0,26.0,12.0
2016-06-19,63.0,38.0,36.0,48.0,42.0,28.0,10.0,32.0,12.0
2016-06-26,66.0,34.0,39.0,49.0,47.0,26.0,11.0,25.0,14.0
2016-07-03,62.0,41.0,47.0,52.0,47.0,34.0,12.0,27.0,14.0
2016-07-10,57.0,30.0,33.0,50.0,46.0,30.0,12.0,23.0,11.0
2016-07-17,62.0,37.0,34.0,49.0,47.0,30.0,12.0,25.0,12.0
2016-07-24,56.0,40.0,33.0,51.0,50.0,27.0,11.0,23.0,11.0
2016-07-31,56.0,40.0,36.0,52.0,47.0,28.0,11.0,21.0,9.0
2016-08-07,56.0,26.0,34.0,48.0,43.0,31.0,10.0,19.0,9.0
2016-08-14,54.0,35.0,34.0,48.0,45.0,27.0,10.0,19.0,9.0
2016-08-21,65.0,36.0,34.0,50.0,43.0,29.0,10.0,17.0,9.0
2016-08-28,64.0,37.0,36.0,52.0,43.0,26.0,10.0,19.0,10.0
2016-09-04,77.0,37.0,45.0,55.0,48.0,31.0,12.0,18.0,10.0
2016-09-11,80.0,41.0,52.0,56.0,52.0,32.0,12.0,20.0,10.0
2016-09-18,78.0,44.0,38.0,56.0,48.0,31.0,13.0,18.0,13.0
2016-09-25,84.0,40.0,38.0,57.0,52.0,33.0,15.0,19.0,13.0
2016-10-02,80.0,45.0,41.0,59.0,75.0,32.0,16.0,20.0,16.0
2016-10-09,80.0,45.0,42.0,61.0,56.0,36.0,17.0,20.0,13.0
2016-10-16,78.0,44.0,35.0,78.0,55.0,36.0,17.0,19.0,13.0
2016-10-23,64.0,42.0,38.0,59.0,73.0,33.0,18.0,19.0,12.0
2016-10-30,82.0,45.0,50.0,60.0,55.0,31.0,17.0,21.0,13.0
2016-11-06,73.0,46.0,38.0,55.0,49.0,31.0,18.0,22.0,12.0
2016-11-13,78.0,41.0,38.0,64.0,63.0,37.0,20.0,21.0,14.0
2016-11-20,72.0,40.0,33.0,57.0,51.0,35.0,19.0,22.0,13.0
2016-11-27,74.0,55.0,36.0,54.0,48.0,38.0,20.0,27.0,14.0
2016-12-04,67.0,47.0,35.0,55.0,48.0,37.0,21.0,25.0,15.0
2016-12-11,66.0,53.0,36.0,54.0,47.0,33.0,23.0,26.0,15.0
2016-12-18,62.0,61.0,37.0,52.0,45.0,30.0,25.0,26.0,19.0
2016-12-25,65.0,57.0,38.0,45.0,41.0,23.0,25.0,24.0,17.0
2017-01-01,65.0,45.0,41.0,54.0,55.0,35.0,25.0,23.0,18.0
2017-01-08,79.0,49.0,39.0,62.0,55.0,40.0,24.0,22.0,15.0
2017-01-15,72.0,59.0,42.0,60.0,55.0,39.0,21.0,28.0,14.0
2017-01-22,76.0,48.0,38.0,66.0,54.0,34.0,19.0,26.0,15.0
2017-01-29,78.0,60.0,42.0,66.0,56.0,35.0,20.0,27.0,15.0
2017-02-05,72.0,70.0,41.0,62.0,59.0,38.0,20.0,28.0,17.0
2017-02-12,72.0,60.0,40.0,59.0,57.0,42.0,19.0,32.0,17.0
2017-02-19,80.0,47.0,42.0,61.0,60.0,41.0,18.0,31.0,16.0
2017-02-26,69.0,56.0,44.0,59.0,60.0,44.0,15.0,29.0,14.0
2017-03-05,75.0,52.0,43.0,58.0,61.0,45.0,15.0,29.0,13.0
2017-03-12,69.0,52.0,39.0,58.0,60.0,42.0,16.0,33.0,14.0
2017-03-19,74.0,52.0,43.0,57.0,57.0,46.0,15.0,35.0,15.0
2017-03-26,67.0,55.0,54.0,63.0,57.0,44.0,16.0,36.0,16.0
2017-04-02,63.0,56.0,48.0,57.0,54.0,39.0,16.0,33.0,16.0
2017-04-09,69.0,90.0,46.0,52.0,49.0,36.0,16.0,32.0,16.0
2017-04-16,65.0,70.0,43.0,52.0,52.0,33.0,14.0,27.0,14.0
2017-04-23,77.0,51.0,41.0,58.0,58.0,45.0,12.0,27.0,13.0
2017-04-30,77.0,44.0,46.0,56.0,53.0,38.0,13.0,27.0,15.0
2017-05-07,73.0,45.0,52.0,59.0,55.0,45.0,13.0,29.0,14.0
2017-05-14,77.0,47.0,45.0,56.0,59.0,40.0,13.0,27.0,14.0
2017-05-21,72.0,44.0,69.0,53.0,53.0,34.0,13.0,31.0,14.0
2017-05-28,66.0,37.0,69.0,52.0,50.0,35.0,12.0,29.0,12.0
2017-06-04,68.0,41.0,49.0,51.0,51.0,33.0,10.0,27.0,10.0
2017-06-11,72.0,40.0,46.0,60.0,63.0,35.0,11.0,38.0,13.0
2017-06-18,68.0,39.0,47.0,55.0,53.0,31.0,10.0,38.0,12.0
2017-06-25,67.0,40.0,48.0,58.0,53.0,37.0,11.0,29.0,12.0
2017-07-02,68.0,33.0,35.0,55.0,48.0,33.0,11.0,29.0,13.0
2017-07-09,62.0,33.0,35.0,57.0,50.0,31.0,12.0,24.0,12.0
2017-07-16,57.0,36.0,34.0,54.0,49.0,30.0,11.0,25.0,12.0
2017-07-23,58.0,32.0,37.0,52.0,51.0,33.0,12.0,24.0,11.0
2017-07-30,58.0,31.0,34.0,52.0,51.0,26.0,11.0,22.0,11.0
2017-08-06,61.0,33.0,34.0,52.0,49.0,32.0,11.0,21.0,12.0
2017-08-13,58.0,29.0,37.0,54.0,49.0,37.0,12.0,20.0,10.0
2017-08-20,61.0,38.0,39.0,52.0,50.0,31.0,11.0,20.0,11.0
2017-08-27,61.0,33.0,61.0,50.0,44.0,28.0,11.0,20.0,11.0
2017-09-03,76.0,40.0,41.0,54.0,49.0,39.0,12.0,21.0,11.0
2017-09-10,76.0,39.0,40.0,53.0,52.0,34.0,12.0,21.0,12.0
2017-09-17,77.0,41.0,41.0,53.0,52.0,36.0,14.0,22.0,16.0
2017-09-24,78.0,40.0,43.0,53.0,53.0,35.0,16.0,22.0,15.0
