,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2015-11-22,48.0,36.0,53.0,45.0,75.0,81.0,25.0,23.0,14.0
2015-11-29,58.0,42.0,33.0,45.0,69.0,54.0,29.0,23.0,27.0
2015-12-06,53.0,47.0,33.0,53.0,56.0,49.0,25.0,23.0,18.0
2015-12-13,47.0,71.0,37.0,53.0,56.0,37.0,30.0,24.0,24.0
2015-12-20,57.0,86.0,36.0,43.0,36.0,26.0,27.0,28.0,30.0
2015-12-27,44.0,35.0,30.0,50.0,46.0,23.0,34.0,28.0,33.0
2016-01-03,56.0,46.0,41.0,45.0,63.0,21.0,33.0,28.0,24.0
2016-01-10,60.0,29.0,36.0,86.0,68.0,46.0,33.0,23.0,25.0
2016-01-17,36.0,53.0,58.0,49.0,64.0,42.0,31.0,32.0,19.0
2016-01-24,78.0,39.0,36.0,51.0,59.0,49.0,36.0,36.0,19.0
2016-01-31,50.0,35.0,41.0,71.0,59.0,24.0,27.0,33.0,26.0
2016-02-07,68.0,52.0,35.0,49.0,62.0,39.0,32.0,31.0,20.0
2016-02-14,39.0,25.0,43.0,61.0,63.0,32.0,27.0,33.0,25.0
2016-02-21,73.0,58.0,52.0,49.0,71.0,53.0,27.0,34.0,23.0
2016-02-28,46.0,49.0,39.0,53.0,72.0,38.0,25.0,29.0,18.0
2016-03-06,69.0,38.0,54.0,61.0,79.0,21.0,30.0,29.0,26.0
2016-03-13,47.0,49.0,59.0,46.0,65.0,40.0,26.0,36.0,21.0
2016-03-20,58.0,88.0,36.0,51.0,69.0,40.0,26.0,28.0,29.0
2016-03-27,44.0,64.0,56.0,49.0,55.0,36.0,22.0,23.0,23.0
2016-04-03,80.0,56.0,53.0,52.0,91.0,28.0,23.0,32.0,21.0
2016-04-10,73.0,40.0,45.0,56.0,73.0,49.0,16.0,36.0,18.0
2016-04-17,48.0,34.0,47.0,55.0,85.0,57.0,21.0,32.0,23.0
2016-04-24,63.0,57.0,51.0,55.0,71.0,32.0,24.0,25.0,18.0
2016-05-01,72.0,51.0,40.0,59.0,56.0,43.0,21.0,27.0,24.0
2016-05-08,47.0,52.0,40.0,45.0,65.0,44.0,16.0,32.0,14.0
2016-05-15,57.0,35.0,60.0,50.0,67.0,44.0,22.0,37.0,17.0
2016-05-22,57.0,33.0,48.0,46.0,53.0,41.0,22.0,26.0,18.0
2016-05-29,38.0,52.0,41.0,54.0,55.0,36.0,15.0,35.0,20.0
2016-06-05,64.0,27.0,71.0,46.0,49.0,46.0,18.0,44.0,19.0
2016-06-12,53.0,38.0,53.0,45.0,45.0,36.0,15.0,30.0,17.0
2016-06-19,56.0,28.0,41.0,40.0,55.0,26.0,18.0,29.0,18.0
2016-06-26,53.0,32.0,26.0,47.0,56.0,22.0,22.0,21.0,20.0
2016-07-03,48.0,25.0,43.0,50.0,52.0,46.0,22.0,27.0,17.0
2016-07-10,49.0,36.0,25.0,43.0,48.0,54.0,19.0,19.0,19.0
2016-07-17,57.0,28.0,41.0,46.0,53.0,32.0,17.0,23.0,14.0
2016-07-24,51.0,26.0,37.0,46.0,58.0,30.0,19.0,23.0,16.0
2016-07-31,29.0,46.0,44.0,48.0,55.0,29.0,19.0,17.0,17.0
2016-08-07,50.0,25.0,42.0,43.0,47.0,47.0,14.0,20.0,11.0
2016-08-14,53.0,40.0,35.0,51.0,64.0,32.0,15.0,20.0,11.0
2016-08-21,37.0,23.0,38.0,47.0,54.0,16.0,17.0,19.0,17.0
2016-08-28,46.0,37.0,42.0,54.0,57.0,54.0,18.0,20.0,14.0
2016-09-04,57.0,23.0,59.0,55.0,62.0,38.0,15.0,22.0,18.0
2016-09-11,51.0,47.0,49.0,59.0,74.0,57.0,21.0,25.0,19.0
2016-09-18,42.0,29.0,46.0,52.0,66.0,59.0,22.0,22.0,24.0
2016-09-25,57.0,40.0,32.0,52.0,65.0,30.0,25.0,19.0,21.0
2016-10-02,46.0,66.0,40.0,57.0,71.0,49.0,30.0,21.0,20.0
2016-10-09,55.0,37.0,53.0,56.0,61.0,52.0,30.0,23.0,17.0
2016-10-16,69.0,40.0,54.0,60.0,57.0,51.0,31.0,24.0,20.0
2016-10-23,54.0,51.0,41.0,56.0,79.0,56.0,23.0,24.0,15.0
2016-10-30,72.0,48.0,59.0,62.0,61.0,27.0,29.0,20.0,17.0
2016-11-06,66.0,26.0,58.0,51.0,64.0,32.0,31.0,24.0,15.0
2016-11-13,60.0,38.0,47.0,47.0,73.0,40.0,32.0,29.0,15.0
2016-11-20,56.0,44.0,46.0,54.0,62.0,53.0,29.0,26.0,22.0
2016-11-27,53.0,46.0,44.0,53.0,62.0,50.0,34.0,27.0,17.0
2016-12-04,56.0,33.0,36.0,46.0,80.0,35.0,38.0,29.0,19.0
2016-12-11,70.0,66.0,59.0,52.0,59.0,45.0,43.0,30.0,27.0
2016-12-18,67.0,68.0,49.0,46.0,40.0,25.0,43.0,35.0,27.0
2016-12-25,69.0,66.0,44.0,43.0,42.0,21.0,59.0,36.0,27.0
2017-01-01,61.0,58.0,38.0,66.0,48.0,32.0,46.0,35.0,32.0
2017-01-08,63.0,36.0,40.0,70.0,56.0,47.0,34.0,26.0,21.0
2017-01-15,67.0,60.0,57.0,60.0,64.0,40.0,31.0,30.0,18.0
2017-01-22,59.0,53.0,44.0,57.0,68.0,60.0,25.0,26.0,27.0
2017-01-29,71.0,79.0,62.0,59.0,68.0,33.0,28.0,27.0,22.0
2017-02-05,73.0,59.0,47.0,58.0,72.0,37.0,27.0,24.0,25.0
2017-02-12,46.0,44.0,55.0,59.0,70.0,47.0,27.0,31.0,22.0
2017-02-19,54.0,39.0,46.0,52.0,66.0,30.0,30.0,29.0,23.0
2017-02-26,49.0,42.0,54.0,55.0,74.0,55.0,25.0,36.0,19.0
2017-03-05,74.0,83.0,66.0,62.0,65.0,72.0,28.0,26.0,19.0
2017-03-12,68.0,51.0,54.0,55.0,65.0,40.0,27.0,36.0,19.0
2017-03-19,63.0,59.0,47.0,59.0,68.0,67.0,27.0,32.0,25.0
2017-03-26,72.0,68.0,58.0,55.0,79.0,57.0,24.0,38.0,24.0
2017-04-02,47.0,73.0,57.0,55.0,60.0,68.0,26.0,42.0,17.0
2017-04-09,72.0,100.0,47.0,47.0,58.0,45.0,26.0,31.0,27.0
2017-04-16,68.0,45.0,58.0,54.0,70.0,55.0,27.0,27.0,21.0
2017-04-23,42.0,68.0,54.0,54.0,100.0,59.0,22.0,27.0,20.0
2017-04-30,58.0,53.0,64.0,55.0,72.0,69.0,22.0,37.0,23.0
2017-05-07,63.0,55.0,63.0,56.0,64.0,41.0,20.0,36.0,13.0
2017-05-14,50.0,60.0,46.0,55.0,66.0,53.0,23.0,28.0,15.0
2017-05-21,43.0,41.0,57.0,48.0,69.0,37.0,18.0,31.0,21.0
2017-05-28,62.0,36.0,54.0,53.0,57.0,32.0,20.0,27.0,18.0
2017-06-04,57.0,35.0,57.0,46.0,50.0,26.0,18.0,26.0,19.0
2017-06-11,58.0,45.0,47.0,50.0,55.0,25.0,17.0,42.0,16.0
2017-06-18,43.0,40.0,50.0,52.0,60.0,22.0,17.0,58.0,17.0
2017-06-25,48.0,47.0,52.0,50.0,50.0,18.0,18.0,35.0,19.0
2017-07-02,40.0,28.0,44.0,53.0,56.0,26.0,18.0,30.0,15.0
2017-07-09,77.0,28.0,40.0,52.0,44.0,38.0,16.0,28.0,15.0
2017-07-16,45.0,32.0,33.0,54.0,56.0,47.0,16.0,26.0,16.0
2017-07-23,72.0,31.0,34.0,51.0,53.0,57.0,17.0,28.0,15.0
2017-07-30,51.0,26.0,33.0,47.0,66.0,34.0,17.0,22.0,19.0
2017-08-06,70.0,29.0,34.0,50.0,45.0,42.0,17.0,19.0,18.0
2017-08-13,42.0,36.0,49.0,55.0,51.0,34.0,14.0,17.0,15.0
2017-08-20,62.0,22.0,45.0,51.0,54.0,34.0,15.0,28.0,22.0
2017-08-27,55.0,39.0,51.0,49.0,58.0,14.0,18.0,20.0,15.0
2017-09-03,36.0,51.0,41.0,51.0,54.0,41.0,19.0,19.0,25.0
2017-09-10,49.0,60.0,36.0,45.0,56.0,44.0,25.0,29.0,22.0
2017-09-17,49.0,52.0,52.0,54.0,58.0,17.0,27.0,26.0,22.0
2017-09-24,54.0,49.0,52.0,58.0,65.0,40.0,32.0,26.0,20.0
2017-10-01,44.0,52.0,55.0,56.0,61.0,43.0,26.0,22.0,21.0
2017-10-08,48.0,52.0,49.0,51.0,74.0,42.0,28.0,22.0,26.0
2017-10-15,38.0,45.0,43.0,50.0,68.0,25.0,27.0,23.0,16.0
2017-10-22,47.0,48.0,36.0,57.0,54.0,53.0,22.0,27.0,20.0
2017-10-29,60.0,44.0,49.0,52.0,62.0,64.0,27.0,26.0,22.0
2017-11-05,53.0,45.0,49.0,54.0,75.0,45.0,29.0,21.0,20.0
