,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2015-11-22,50.0,30.0,23.0,68.0,71.0,65.0,23.0,47.0,22.0
2015-11-29,56.0,27.0,19.0,78.0,69.0,18.0,21.0,62.0,13.0
2015-12-06,62.0,28.0,23.0,77.0,55.0,36.0,23.0,54.0,30.0
2015-12-13,55.0,34.0,18.0,72.0,71.0,17.0,43.0,57.0,17.0
2015-12-20,58.0,46.0,22.0,65.0,42.0,29.0,22.0,54.0,22.0
2015-12-27,76.0,29.0,25.0,62.0,42.0,38.0,22.0,44.0,19.0
2016-01-03,57.0,22.0,13.0,62.0,70.0,36.0,23.0,57.0,18.0
2016-01-10,48.0,17.0,20.0,100.0,53.0,44.0,23.0,44.0,25.0
2016-01-17,43.0,26.0,22.0,69.0,60.0,46.0,19.0,45.0,12.0
2016-01-24,49.0,26.0,19.0,63.0,53.0,41.0,27.0,43.0,17.0
2016-01-31,49.0,29.0,27.0,76.0,64.0,33.0,23.0,36.0,8.0
2016-02-07,51.0,40.0,31.0,67.0,51.0,42.0,20.0,58.0,11.0
2016-02-14,45.0,26.0,25.0,76.0,66.0,36.0,26.0,47.0,13.0
2016-02-21,64.0,35.0,19.0,77.0,83.0,32.0,18.0,48.0,13.0
2016-02-28,61.0,36.0,28.0,78.0,92.0,27.0,25.0,43.0,19.0
2016-03-06,67.0,29.0,25.0,75.0,72.0,23.0,22.0,47.0,29.0
2016-03-13,64.0,48.0,26.0,73.0,78.0,23.0,24.0,52.0,25.0
2016-03-20,52.0,76.0,31.0,75.0,75.0,20.0,23.0,42.0,23.0
2016-03-27,80.0,42.0,26.0,75.0,76.0,59.0,28.0,58.0,16.0
2016-04-03,69.0,47.0,27.0,86.0,83.0,52.0,31.0,51.0,22.0
2016-04-10,85.0,37.0,22.0,79.0,74.0,27.0,47.0,49.0,16.0
2016-04-17,69.0,20.0,28.0,68.0,70.0,41.0,41.0,49.0,15.0
2016-04-24,47.0,33.0,29.0,62.0,62.0,33.0,43.0,45.0,17.0
2016-05-01,65.0,29.0,23.0,82.0,83.0,55.0,40.0,56.0,21.0
2016-05-08,61.0,35.0,23.0,75.0,67.0,54.0,33.0,45.0,17.0
2016-05-15,65.0,29.0,29.0,80.0,92.0,31.0,35.0,49.0,14.0
2016-05-22,54.0,33.0,28.0,76.0,74.0,47.0,37.0,56.0,30.0
2016-05-29,64.0,38.0,24.0,80.0,91.0,56.0,33.0,53.0,24.0
2016-06-05,79.0,40.0,22.0,66.0,89.0,60.0,35.0,55.0,34.0
2016-06-12,71.0,41.0,31.0,73.0,80.0,43.0,48.0,46.0,25.0
2016-06-19,70.0,36.0,29.0,78.0,57.0,34.0,45.0,63.0,28.0
2016-06-26,93.0,27.0,35.0,71.0,74.0,40.0,48.0,53.0,20.0
2016-07-03,76.0,36.0,26.0,75.0,54.0,54.0,51.0,41.0,13.0
2016-07-10,65.0,30.0,26.0,67.0,53.0,31.0,40.0,42.0,30.0
2016-07-17,59.0,26.0,23.0,67.0,62.0,30.0,53.0,61.0,19.0
2016-07-24,80.0,32.0,31.0,66.0,73.0,17.0,40.0,50.0,37.0
2016-07-31,80.0,33.0,21.0,72.0,72.0,41.0,40.0,54.0,28.0
2016-08-07,71.0,42.0,23.0,75.0,76.0,47.0,46.0,51.0,21.0
2016-08-14,65.0,30.0,26.0,78.0,84.0,49.0,42.0,58.0,25.0
2016-08-21,97.0,27.0,24.0,78.0,82.0,46.0,48.0,60.0,27.0
2016-08-28,54.0,29.0,24.0,73.0,78.0,30.0,51.0,66.0,24.0
2016-09-04,62.0,37.0,29.0,74.0,82.0,46.0,43.0,56.0,23.0
2016-09-11,72.0,36.0,26.0,79.0,74.0,41.0,49.0,51.0,22.0
2016-09-18,73.0,38.0,26.0,86.0,88.0,74.0,51.0,64.0,25.0
2016-09-25,76.0,33.0,31.0,71.0,76.0,59.0,48.0,56.0,25.0
2016-10-02,68.0,31.0,24.0,67.0,56.0,55.0,41.0,58.0,30.0
2016-10-09,78.0,32.0,31.0,91.0,66.0,42.0,44.0,60.0,19.0
2016-10-16,47.0,24.0,19.0,75.0,78.0,84.0,31.0,46.0,28.0
2016-10-23,57.0,36.0,21.0,68.0,69.0,50.0,47.0,57.0,29.0
2016-10-30,77.0,29.0,27.0,73.0,83.0,66.0,30.0,52.0,22.0
2016-11-06,63.0,35.0,18.0,73.0,57.0,81.0,35.0,47.0,22.0
2016-11-13,60.0,24.0,21.0,55.0,76.0,42.0,34.0,47.0,23.0
2016-11-20,47.0,22.0,25.0,67.0,62.0,44.0,34.0,48.0,17.0
2016-11-27,65.0,27.0,19.0,70.0,63.0,33.0,23.0,61.0,21.0
2016-12-04,73.0,33.0,21.0,58.0,62.0,24.0,23.0,56.0,23.0
2016-12-11,42.0,36.0,23.0,71.0,50.0,51.0,35.0,61.0,22.0
2016-12-18,39.0,40.0,26.0,69.0,49.0,33.0,29.0,52.0,27.0
2016-12-25,64.0,30.0,19.0,68.0,42.0,44.0,34.0,51.0,22.0
2017-01-01,47.0,27.0,22.0,65.0,50.0,31.0,37.0,44.0,24.0
2017-01-08,36.0,29.0,33.0,63.0,46.0,48.0,30.0,44.0,24.0
2017-01-15,60.0,24.0,20.0,67.0,42.0,47.0,23.0,42.0,14.0
2017-01-22,50.0,22.0,22.0,66.0,49.0,47.0,27.0,42.0,5.0
2017-01-29,61.0,23.0,19.0,66.0,50.0,43.0,25.0,36.0,23.0
2017-02-05,56.0,24.0,22.0,62.0,62.0,36.0,29.0,43.0,19.0
2017-02-12,46.0,34.0,25.0,64.0,61.0,36.0,22.0,43.0,20.0
2017-02-19,64.0,31.0,22.0,61.0,71.0,26.0,31.0,60.0,20.0
