,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2015-11-22,75.0,38.0,63.0,59.0,78.0,54.0,36.0,27.0,29.0
2015-11-29,84.0,44.0,55.0,65.0,90.0,66.0,35.0,28.0,29.0
2015-12-06,83.0,49.0,53.0,68.0,87.0,63.0,35.0,29.0,28.0
2015-12-13,84.0,52.0,51.0,62.0,79.0,59.0,38.0,34.0,29.0
2015-12-20,76.0,64.0,52.0,54.0,66.0,42.0,41.0,31.0,36.0
2015-12-27,80.0,40.0,59.0,58.0,76.0,41.0,44.0,30.0,37.0
2016-01-03,87.0,42.0,67.0,64.0,84.0,56.0,40.0,30.0,33.0
2016-01-10,88.0,40.0,64.0,100.0,84.0,57.0,39.0,29.0,28.0
2016-01-17,89.0,42.0,61.0,71.0,86.0,55.0,40.0,31.0,29.0
2016-01-24,90.0,42.0,64.0,68.0,89.0,63.0,40.0,32.0,30.0
2016-01-31,91.0,43.0,64.0,73.0,89.0,60.0,39.0,32.0,31.0
2016-02-07,89.0,43.0,63.0,69.0,86.0,61.0,39.0,36.0,30.0
2016-02-14,88.0,45.0,62.0,72.0,88.0,67.0,42.0,37.0,32.0
2016-02-21,92.0,50.0,65.0,74.0,91.0,66.0,40.0,36.0,32.0
2016-02-28,92.0,46.0,60.0,74.0,88.0,65.0,40.0,37.0,31.0
2016-03-06,86.0,45.0,64.0,73.0,89.0,66.0,39.0,37.0,31.0
2016-03-13,85.0,48.0,65.0,67.0,87.0,61.0,36.0,36.0,30.0
2016-03-20,89.0,84.0,67.0,66.0,90.0,60.0,35.0,33.0,31.0
2016-03-27,96.0,71.0,67.0,67.0,91.0,64.0,33.0,32.0,30.0
2016-04-03,93.0,44.0,63.0,70.0,96.0,68.0,32.0,31.0,29.0
2016-04-10,92.0,43.0,64.0,70.0,96.0,64.0,30.0,31.0,29.0
2016-04-17,90.0,41.0,63.0,68.0,92.0,64.0,30.0,31.0,30.0
2016-04-24,90.0,42.0,67.0,67.0,90.0,61.0,29.0,28.0,29.0
2016-05-01,87.0,40.0,76.0,67.0,85.0,59.0,27.0,27.0,28.0
2016-05-08,82.0,38.0,62.0,67.0,87.0,56.0,28.0,28.0,31.0
2016-05-15,86.0,39.0,63.0,69.0,85.0,57.0,28.0,29.0,30.0
2016-05-22,81.0,37.0,61.0,66.0,81.0,54.0,26.0,28.0,29.0
2016-05-29,79.0,36.0,58.0,63.0,77.0,47.0,26.0,29.0,27.0
2016-06-05,83.0,36.0,85.0,66.0,80.0,55.0,25.0,28.0,26.0
2016-06-12,86.0,38.0,71.0,62.0,79.0,53.0,23.0,27.0,24.0
2016-06-19,82.0,34.0,65.0,65.0,80.0,57.0,23.0,26.0,23.0
2016-06-26,81.0,34.0,63.0,67.0,80.0,49.0,22.0,25.0,23.0
2016-07-03,80.0,34.0,65.0,61.0,73.0,47.0,21.0,25.0,23.0
2016-07-10,85.0,37.0,59.0,66.0,81.0,51.0,20.0,25.0,22.0
2016-07-17,84.0,36.0,62.0,64.0,80.0,50.0,20.0,26.0,22.0
2016-07-24,80.0,35.0,59.0,63.0,77.0,50.0,20.0,26.0,20.0
2016-07-31,81.0,36.0,61.0,63.0,79.0,51.0,21.0,25.0,22.0
2016-08-07,78.0,34.0,57.0,58.0,74.0,47.0,20.0,24.0,20.0
2016-08-14,78.0,35.0,60.0,59.0,72.0,45.0,20.0,24.0,22.0
2016-08-21,87.0,36.0,61.0,61.0,77.0,54.0,22.0,25.0,24.0
2016-08-28,92.0,38.0,61.0,62.0,76.0,54.0,24.0,25.0,26.0
2016-09-04,89.0,37.0,63.0,66.0,77.0,51.0,30.0,26.0,29.0
2016-09-11,94.0,37.0,70.0,72.0,84.0,62.0,29.0,27.0,28.0
2016-09-18,93.0,38.0,61.0,72.0,86.0,61.0,28.0,27.0,28.0
2016-09-25,94.0,38.0,62.0,73.0,86.0,63.0,30.0,27.0,28.0
2016-10-02,93.0,39.0,64.0,78.0,84.0,59.0,29.0,25.0,26.0
2016-10-09,91.0,39.0,61.0,76.0,85.0,62.0,30.0,26.0,26.0
2016-10-16,90.0,39.0,61.0,76.0,87.0,61.0,31.0,26.0,26.0
2016-10-23,89.0,40.0,61.0,71.0,86.0,61.0,31.0,27.0,26.0
2016-10-30,85.0,39.0,61.0,69.0,90.0,63.0,32.0,27.0,28.0
2016-11-06,88.0,39.0,63.0,59.0,77.0,58.0,33.0,25.0,27.0
2016-11-13,83.0,38.0,62.0,67.0,93.0,62.0,37.0,27.0,29.0
2016-11-20,71.0,34.0,66.0,56.0,69.0,46.0,37.0,25.0,30.0
2016-11-27,82.0,40.0,57.0,65.0,86.0,60.0,37.0,27.0,31.0
2016-12-04,85.0,46.0,56.0,64.0,81.0,62.0,37.0,26.0,29.0
2016-12-11,80.0,47.0,56.0,62.0,76.0,53.0,38.0,29.0,30.0
2016-12-18,75.0,49.0,54.0,59.0,68.0,42.0,45.0,30.0,36.0
2016-12-25,73.0,48.0,57.0,55.0,68.0,41.0,49.0,32.0,37.0
2017-01-01,83.0,38.0,65.0,59.0,80.0,47.0,47.0,33.0,36.0
2017-01-08,89.0,38.0,61.0,66.0,83.0,53.0,45.0,33.0,30.0
2017-01-15,91.0,40.0,73.0,66.0,84.0,55.0,43.0,33.0,29.0
2017-01-22,93.0,40.0,66.0,68.0,91.0,64.0,41.0,33.0,32.0
2017-01-29,92.0,41.0,75.0,67.0,90.0,67.0,44.0,41.0,34.0
2017-02-05,87.0,41.0,63.0,68.0,89.0,63.0,45.0,39.0,34.0
2017-02-12,90.0,40.0,59.0,64.0,87.0,64.0,44.0,38.0,33.0
2017-02-19,91.0,40.0,63.0,67.0,89.0,67.0,44.0,39.0,33.0
2017-02-26,88.0,45.0,61.0,67.0,90.0,64.0,38.0,32.0,30.0
2017-03-05,89.0,45.0,60.0,68.0,91.0,62.0,39.0,32.0,32.0
2017-03-12,88.0,44.0,63.0,64.0,87.0,66.0,38.0,34.0,32.0
2017-03-19,88.0,45.0,62.0,66.0,91.0,69.0,39.0,39.0,33.0
2017-03-26,87.0,46.0,61.0,67.0,92.0,68.0,37.0,35.0,30.0
2017-04-02,86.0,50.0,61.0,66.0,91.0,67.0,35.0,32.0,31.0
2017-04-09,88.0,82.0,66.0,65.0,88.0,63.0,34.0,31.0,32.0
